일자,계(명),국내발생(명),해외유입(명),사망(명)
2020-01-20,1,0,1,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,1,0,1,0
2020-01-25,0,0,0,0
2020-01-26,1,0,1,0
2020-01-27,1,0,1,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,3,1,2,0
2020-01-31,4,3,1,0
2020-02-01,1,0,1,0
2020-02-02,3,1,2,0
2020-02-03,0,0,0,0
2020-02-04,1,0,1,0
2020-02-05,5,3,2,0
2020-02-06,3,1,2,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,3,1,2,0
2020-02-10,1,1,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,2,2,0,0
2020-02-17,0,0,0,0
2020-02-18,2,2,0,0
2020-02-19,34,34,0,0
2020-02-20,16,16,0,1
2020-02-21,74,74,0,0
2020-02-22,190,190,0,2
2020-02-23,210,209,1,0
2020-02-24,207,206,1,4
2020-02-25,130,129,1,1
2020-02-26,253,252,1,3
2020-02-27,449,447,2,1
2020-02-28,427,427,0,1
2020-02-29,909,909,0,3
2020-03-01,595,593,2,1
2020-03-02,686,684,2,6
2020-03-03,600,599,1,5
2020-03-04,516,516,0,4
2020-03-05,438,437,1,3
2020-03-06,518,518,0,7
2020-03-07,483,483,0,2
2020-03-08,367,366,1,6
2020-03-09,248,247,1,1
2020-03-10,131,131,0,3
2020-03-11,242,239,3,6
2020-03-12,114,112,2,6
2020-03-13,110,107,3,1
2020-03-14,107,102,5,5
2020-03-15,76,72,4,3
2020-03-16,74,70,4,0
2020-03-17,84,79,5,6
2020-03-18,93,80,13,3
2020-03-19,152,135,17,7
2020-03-20,87,73,14,3
2020-03-21,147,126,21,8
2020-03-22,98,77,21,2
2020-03-23,64,46,18,7
2020-03-24,76,46,30,9
2020-03-25,100,42,58,6
2020-03-26,104,56,48,5
2020-03-27,91,57,34,8
2020-03-28,146,90,56,5
2020-03-29,105,38,67,8
2020-03-30,78,35,43,6
2020-03-31,125,88,37,4
2020-04-01,101,56,45,3
2020-04-02,89,43,46,4
2020-04-03,86,37,49,5
2020-04-04,94,53,41,3
2020-04-05,81,31,50,6
2020-04-06,47,25,22,3
2020-04-07,47,23,24,6
2020-04-08,53,23,30,8
2020-04-09,39,13,26,4
2020-04-10,27,17,10,4
2020-04-11,30,16,14,3
2020-04-12,32,9,23,3
2020-04-13,25,10,15,3
2020-04-14,27,11,16,5
2020-04-15,27,13,14,3
2020-04-16,22,11,11,4
2020-04-17,22,7,15,1
2020-04-18,18,9,9,2
2020-04-19,8,2,6,2
2020-04-20,13,6,7,2
2020-04-21,9,4,5,1
2020-04-22,11,5,6,1
2020-04-23,8,4,4,2
2020-04-24,6,4,2,0
2020-04-25,10,5,5,0
2020-04-26,10,1,9,2
2020-04-27,10,3,7,1
2020-04-28,14,2,12,1
2020-04-29,9,4,5,2
2020-04-30,4,0,4,1
2020-05-01,9,1,8,1
2020-05-02,6,0,6,2
2020-05-03,13,3,10,0
2020-05-04,8,0,8,2
2020-05-05,3,0,3,2
2020-05-06,2,0,2,1
2020-05-07,4,1,3,1
2020-05-08,12,1,11,0
2020-05-09,18,17,1,0
2020-05-10,34,26,8,0
2020-05-11,35,29,6,0
2020-05-12,27,22,5,2
2020-05-13,26,22,4,1
2020-05-14,29,26,3,1
2020-05-15,27,22,5,0
2020-05-16,19,9,10,2
2020-05-17,13,6,7,0
2020-05-18,15,5,10,1
2020-05-19,13,9,4,0
2020-05-20,32,24,8,0
2020-05-21,12,10,2,1
2020-05-22,20,11,9,0
2020-05-23,23,19,4,2
2020-05-24,25,17,8,0
2020-05-25,16,13,3,1
2020-05-26,19,16,3,2
2020-05-27,40,37,3,0
2020-05-28,79,68,11,0
2020-05-29,58,55,3,0
2020-05-30,39,27,12,0
2020-05-31,27,15,12,1
2020-06-01,35,30,5,1
2020-06-02,38,36,2,1
2020-06-03,49,46,3,1
2020-06-04,39,33,6,0
2020-06-05,39,34,5,0
2020-06-06,51,43,8,0
2020-06-07,57,53,4,0
2020-06-08,37,32,5,0
2020-06-09,38,35,3,1
2020-06-10,50,43,7,2
2020-06-11,45,40,5,0
2020-06-12,56,43,13,1
2020-06-13,48,43,5,0
2020-06-14,34,31,3,0
2020-06-15,37,24,13,0
2020-06-16,34,21,13,1
2020-06-17,43,31,12,1
2020-06-18,59,51,8,1
2020-06-19,49,32,17,0
2020-06-20,67,36,31,0
2020-06-21,48,40,8,0
2020-06-22,17,11,6,0
2020-06-23,46,16,30,1
2020-06-24,51,30,21,0
2020-06-25,28,23,5,1
2020-06-26,39,26,13,0
2020-06-27,51,31,20,0
2020-06-28,62,40,22,0
2020-06-29,42,30,12,0
2020-06-30,42,22,20,0
2020-07-01,51,36,15,0
2020-07-02,54,44,10,0
2020-07-03,61,49,12,0
2020-07-04,63,36,27,1
2020-07-05,61,43,18,0
2020-07-06,48,24,24,1
2020-07-07,44,20,24,1
2020-07-08,62,30,32,0
2020-07-09,50,28,22,2
2020-07-10,45,23,22,1
2020-07-11,35,20,15,0
2020-07-12,44,21,23,1
2020-07-13,62,19,43,0
2020-07-14,33,14,19,0
2020-07-15,39,11,28,0
2020-07-16,61,14,47,2
2020-07-17,60,21,39,2
2020-07-18,39,11,28,1
2020-07-19,34,21,13,1
2020-07-20,26,4,22,1
2020-07-21,45,20,25,0
2020-07-22,63,29,34,1
2020-07-23,59,39,20,0
2020-07-24,41,28,13,1
2020-07-25,113,27,86,0
2020-07-26,58,12,46,0
2020-07-27,25,9,16,1
2020-07-28,28,5,23,1
2020-07-29,48,14,34,0
2020-07-30,18,7,11,0
2020-07-31,36,14,22,1
2020-08-01,31,8,23,0
2020-08-02,30,8,22,0
2020-08-03,23,3,20,0
2020-08-04,34,13,21,0
2020-08-05,33,13,20,1
2020-08-06,43,23,20,0
2020-08-07,20,9,11,1
2020-08-08,43,30,13,1
2020-08-09,36,30,6,1
2020-08-10,28,17,11,0
2020-08-11,34,23,11,0
2020-08-12,54,35,19,0
2020-08-13,56,47,9,0
2020-08-14,103,85,18,0
2020-08-15,166,154,12,0
2020-08-16,279,267,12,0
2020-08-17,197,188,9,0
2020-08-18,246,235,11,1
2020-08-19,297,283,14,0
2020-08-20,288,276,12,1
2020-08-21,324,315,9,2
2020-08-22,332,315,17,0
2020-08-23,396,386,10,0
2020-08-24,266,258,8,0
2020-08-25,280,264,16,1
2020-08-26,320,307,13,2
2020-08-27,441,434,7,1
2020-08-28,371,359,12,3
2020-08-29,323,308,15,5
2020-08-30,299,283,16,2
2020-08-31,248,238,10,1
2020-09-01,235,221,14,0
2020-09-02,267,253,14,2
2020-09-03,195,188,7,3
2020-09-04,198,188,10,2
2020-09-05,168,158,10,2
2020-09-06,167,152,15,1
2020-09-07,119,107,12,2
2020-09-08,136,120,16,5
2020-09-09,156,144,12,3
2020-09-10,155,140,15,2
2020-09-11,176,161,15,4
2020-09-12,136,118,18,5
2020-09-13,121,99,22,3
2020-09-14,109,98,11,5
2020-09-15,106,90,16,4
2020-09-16,113,105,8,0
2020-09-17,153,145,8,5
2020-09-18,126,109,17,5
2020-09-19,110,106,4,1
2020-09-20,82,72,10,5
2020-09-21,70,55,15,2
2020-09-22,61,50,11,3
2020-09-23,110,99,11,0
2020-09-24,125,109,16,5
2020-09-25,114,95,19,2
2020-09-26,61,49,12,4
2020-09-27,95,73,22,2
2020-09-28,50,40,10,5
2020-09-29,38,23,15,1
2020-09-30,113,94,19,6
2020-10-01,77,67,10,2
2020-10-02,63,53,10,1
2020-10-03,75,52,23,4
2020-10-04,64,47,17,1
2020-10-05,73,64,9,1
2020-10-06,75,66,9,0
2020-10-07,114,94,20,3
2020-10-08,69,60,9,2
2020-10-09,54,38,16,1
2020-10-10,72,61,11,2
2020-10-11,58,46,12,2
2020-10-12,98,69,29,1
2020-10-13,91,69,22,1
2020-10-14,84,53,31,4
2020-10-15,110,95,15,1
2020-10-16,47,41,6,2
2020-10-17,73,62,11,2
2020-10-18,91,71,20,1
2020-10-19,76,50,26,0
2020-10-20,58,41,17,3
2020-10-21,89,57,32,3
2020-10-22,121,104,17,3
2020-10-23,155,138,17,2
2020-10-24,77,66,11,2
2020-10-25,61,50,11,0
2020-10-26,119,94,25,0
2020-10-27,88,72,16,3
2020-10-28,103,96,7,1
2020-10-29,125,107,18,1
2020-10-30,113,93,20,1
2020-10-31,127,96,31,1
2020-11-01,124,101,23,2
2020-11-02,97,79,18,2
2020-11-03,75,46,29,4
2020-11-04,117,98,19,2
2020-11-05,125,108,17,1
2020-11-06,145,117,28,1
2020-11-07,89,72,17,1
2020-11-08,143,118,25,1
2020-11-09,126,99,27,2
2020-11-10,100,71,29,5
2020-11-11,145,113,32,2
2020-11-12,143,128,15,0
2020-11-13,191,162,29,1
2020-11-14,205,166,39,4
2020-11-15,208,176,32,1
2020-11-16,222,192,30,1
2020-11-17,230,202,28,0
2020-11-18,285,245,40,2
2020-11-19,325,293,32,2
2020-11-20,348,320,28,3
2020-11-21,386,361,25,2
2020-11-22,330,302,28,2
2020-11-23,271,255,16,4
2020-11-24,349,318,31,1
2020-11-25,382,363,19,3
2020-11-26,581,552,29,2
