종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","75600","-200","-0.26","4.51315561E8"
"000660","SK하이닉스","118000","-2000","-1.67","8.5904279E7"
"035420","NAVER","402000","3500","0.88","6.6033885E7"
"207940","삼성바이오로직스","900000","8000","0.90","5.95485E7"
"035720","카카오","123500","1000","0.82","5.5043733E7"
"051910","LG화학","717000","-10000","-1.38","5.061471E7"
"006400","삼성SDI","692000","7000","1.02","4.7585055E7"
"005380","현대차","206000","500","0.24","4.4015647E7"
"000270","기아","82500","900","1.10","3.3442476E7"
"323410","카카오뱅크","67500","2500","3.85","3.2073248E7"
"068270","셀트리온","210500","-2500","-1.17","2.903787E7"
"377300","카카오페이","204500","-3500","-1.68","2.6660077E7"
"005490","POSCO","284000","2500","0.89","2.4761061E7"
"259960","크래프톤","500000","-2000","-0.40","2.4478273E7"
"105560","KB금융","57000","2000","3.64","2.3701051E7"
"012330","현대모비스","238500","-1000","-0.42","2.2555683E7"
"028260","삼성물산","114000","-500","-0.44","2.1305127E7"
"066570","LG전자","122000","0","0.00","1.9965033E7"
"055550","신한지주","37050","1050","2.92","1.9140013E7"
"302440","SK바이오사이언스","250500","-9500","-3.65","1.916325E7"
"096770","SK이노베이션","204500","500","0.25","1.8909208E7"
"034730","SK","267000","3000","1.14","1.8786199E7"
"051900","LG생활건강","1167000","5000","0.43","1.8226436E7"
"036570","엔씨소프트","728000","38000","5.51","1.5982528E7"
"015760","한국전력","21650","200","0.93","1.3898522E7"
"352820","하이브","354500","24500","7.42","1.3843515E7"
"009150","삼성전기","178500","5500","3.18","1.3332825E7"
"032830","삼성생명","66300","500","0.76","1.326E7"
"011200","HMM","26800","400","1.52","1.3106258E7"
"003550","LG","82000","500","0.61","1.2898681E7"
"086790","하나금융지주","42400","1050","2.54","1.2730263E7"
"017670","SK텔레콤","56800","1400","2.53","1.2429723E7"
"361610","SK아이이테크놀로지","169500","9000","5.61","1.2084942E7"
"018260","삼성에스디에스","152500","0","0.00","1.1800115E7"
"003670","포스코케미칼","150000","1000","0.67","1.1619483E7"
"033780","KT&G","85100","1000","1.19","1.1683591E7"
"034020","두산중공업","20150","300","1.51","1.0466945E7"
"251270","넷마블","121000","3000","2.54","1.0400374E7"
"329180","현대중공업","111000","-2500","-2.20","9853816.0"
"003490","대한항공","28500","700","2.52","9912894.0"
"000810","삼성화재","209000","5500","2.70","9901341.0"
"010950","S-Oil","86600","1800","2.12","9749670.0"
"090430","아모레퍼시픽","167000","3000","1.83","9768291.0"
"402340","SK스퀘어","66000","-2700","-3.93","9336860.0"
"010130","고려아연","493500","-4000","-0.80","9312345.0"
"316140","우리금융지주","12750","250","2.00","9282772.0"
"030200","KT","30500","800","2.69","7963910.0"
"024110","기업은행","10850","250","2.36","8075661.0"
"326030","SK바이오팜","99900","2900","2.99","7823494.0"
"011170","롯데케미칼","224000","1000","0.45","7677694.0"
"034220","LG디스플레이","20700","800","4.02","7406785.0"
"018880","한온시스템","13800","-200","-1.43","7366440.0"
"011790","SKC","188500","4000","2.17","7138174.0"
"011070","LG이노텍","294000","6500","2.26","6958129.0"
"383220","F&F","900000","61000","7.27","6895274.0"
"009830","한화솔루션","35800","100","0.28","6847770.0"
"009540","한국조선해양","94600","-800","-0.84","6695137.0"
"032640","LG유플러스","13650","200","1.49","5959745.0"
"086280","현대글로비스","156000","0","0.00","5850000.0"
"020150","일진머티리얼즈","123500","2500","2.07","5694688.0"
"006800","미래에셋증권","9060","50","0.55","5755967.0"
"088980","맥쿼리인프라","13900","-100","-0.71","5627353.0"
"097950","CJ제일제당","363500","-1000","-0.27","5472197.0"
"004020","현대제철","40750","50","0.12","5437916.0"
"021240","코웨이","73800","2100","2.93","5446412.0"
"137310","에스디바이오센서","51200","-600","-1.16","5287493.0"
"000720","현대건설","48300","1150","2.44","5378483.0"
"011780","금호석유","172000","3000","1.78","5240443.0"
"035250","강원랜드","24050","1050","4.57","5145269.0"
"161390","한국타이어앤테크놀로지","40150","400","1.01","4973584.0"
"138040","메리츠금융지주","36150","1200","3.43","4844508.0"
"010140","삼성중공업","5370","10","0.19","4725600.0"
"071050","한국금융지주","81000","1000","1.25","4513805.0"
"028050","삼성엔지니어링","22500","400","1.81","4410000.0"
"267250","현대중공업지주","55200","400","0.73","4360418.0"
"139480","이마트","150000","2500","1.69","4181373.0"
"000100","유한양행","60300","200","0.33","4219369.0"
"016360","삼성증권","46750","750","1.63","4174775.0"
"241560","두산밥캣","39450","-400","-1.00","3954830.0"
"005830","DB손해보험","55300","1000","1.84","3915240.0"
"000060","메리츠화재","32700","550","1.71","3944438.0"
"271560","오리온","101000","500","0.50","3993149.0"
"180640","한진칼","58300","1000","1.75","3890876.0"
"005940","NH투자증권","12850","300","2.39","3816885.0"
"003410","쌍용C&E","7700","90","1.18","3879719.0"
"029780","삼성카드","33300","400","1.22","3858101.0"
"078930","GS","39150","450","1.16","3637637.0"
